Areal values from HadUK-Grid 1km gridded climate data from land surface network
Source: Met Office National Climate Information Centre
Monthly, seasonal and annual number of days in the month with precipitation amount >= 1mm for England
Areal series, starting in 1891
Last updated 01-Jul-2025 11:38
year    jan    feb    mar    apr    may    jun    jul    aug    sep    oct    nov    dec     win     spr     sum     aut     ann
1891   11.1    0.7   10.9    8.4   15.3    8.2   14.0   19.9   11.7   18.9   13.7   17.3     ---    34.6    42.1    44.3   150.1
1892   11.1   12.3    6.5    7.2   10.7   12.7    9.0   12.2   11.6   17.7   11.3    9.8    40.7    24.4    33.9    40.5   132.0
1893   12.0   17.3    3.8    2.4    7.6    7.1   14.6   11.0   10.6   13.9   12.4   13.2    39.0    13.7    32.7    36.9   125.8
1894   17.6   12.7    8.5   11.9   13.6   11.9   14.9   14.8    7.4   15.2   12.4   12.9    43.4    34.0    41.5    34.9   153.6
1895   16.6    2.8   13.9    9.5    4.4    6.7   14.4   14.5    4.3   14.7   17.1   13.7    32.3    27.9    35.7    36.0   132.8
1896    7.3    4.7   17.7    8.5    2.7   11.3    8.6   12.5   19.8   18.0    6.6   18.7    25.7    29.0    32.4    44.3   136.4
1897   11.9   12.0   17.4   13.4    8.8   10.4    6.0   17.4   11.8    6.4    9.9   14.5    42.6    39.6    33.9    28.1   140.0
1898    6.2   11.6    8.8   10.7   16.0   10.6    4.8   11.5    3.5   13.9   11.7   12.7    32.3    35.5    26.9    29.1   121.9
1899   16.9    9.9    7.3   15.2   12.2    6.4    7.9    6.6   14.4    8.7    8.8   13.0    39.5    34.7    20.9    32.0   127.4
1900   18.5   17.0    6.6    9.1    8.7   15.0    9.3   14.8    6.0   15.3   17.4   16.8    48.6    24.4    39.1    38.7   154.6
1901   11.1    9.0   13.3   12.6    7.0    8.7    8.3    9.5    8.6   12.9    7.1   17.2    36.9    32.9    26.6    28.6   125.3
1902    8.4    8.7   10.1    8.9   16.2   13.2   10.1   15.5    8.4   13.9   11.4   11.1    34.2    35.2    38.8    33.6   135.6
1903   13.8    9.0   17.7   10.4   13.4    8.5   13.6   16.1   12.9   25.4   11.7   10.6    33.9    41.5    38.2    50.0   163.2
1904   16.1   17.3   11.3   10.1   12.6    6.6   10.0   11.6    8.8    7.5    8.8   12.5    44.0    34.0    28.2    25.1   133.2
1905    7.2    8.2   16.9   14.7    4.5   11.0    6.4   16.0   10.4   11.2   15.7    6.7    27.9    36.0    33.4    37.3   128.7
1906   17.6   14.3   11.8    7.6   13.8    8.3    7.4   11.1    5.6   18.7   13.9   15.2    38.6    33.1    26.7    38.2   145.2
1907    7.0    9.2    9.2   14.5   15.6   16.8   12.3   12.5    4.5   20.4   11.8   14.8    31.4    39.4    41.5    36.6   148.5
1908    7.9   11.1   16.0   12.2   12.1    5.8   10.6   12.8   12.8    8.3    9.2   14.7    33.9    40.3    29.3    30.4   133.8
1909    9.3    4.9   17.2   11.3    7.6   12.9   14.5   10.9   13.0   19.8    6.8   18.1    29.0    36.0    38.4    39.6   146.3
