year  ,   ann
1836,885.2
1837,746.5
1838,757.1
1839,918.1
1840,688.7
1841,965.0
1842,727.5
1843,829.0
1844,650.4
1845,800.6
1846,824.6
1847,742.4
1848,1009.0
1849,782.7
1850,702.2
1851,712.4
1852,1054.1
1853,780.3
1854,628.4
1855,660.9
1856,775.0
1857,736.4
1858,652.9
1859,814.8
1860,962.5
1861,752.2
1862,827.4
1863,771.0
1864,628.9
1865,821.1
1866,937.5
1867,795.0
1868,819.6
1869,838.8
1870,651.2
1871,776.6
1872,1155.5
1873,721.3
1874,746.3
1875,913.9
1876,933.8
1877,1008.0
1878,870.4
1879,865.7
1880,905.9
1881,868.0
1882,1015.6
1883,871.0
1884,695.2
1885,805.7
1886,913.8
1887,596.9
1888,781.7
1889,749.0
1890,725.3
1891,899.5
1892,755.9
1893,672.9
1894,867.8
1895,767.5
1896,747.5
1897,807.2
1898,693.7
1899,755.7
1900,871.9
1901,693.6
1902,675.2
1903,1042.9
1904,716.7
1905,675.4
1906,806.7
1907,810.4
1908,717.2
1909,847.8
1910,899.3
1911,760.0
1912,1001.9
1913,769.8
1914,868.1
1915,884.7
1916,926.5
1917,784.0
1918,857.3
1919,835.5
1920,843.7
1921,559.3
1922,842.3
1923,893.2
1924,956.3
1925,847.0
1926,812.4
1927,982.2
1928,911.1
1929,794.9
1930,933.5
1931,880.9
1932,824.4
1933,650.7
1934,758.6
1935,902.4
1936,868.8
1937,875.0
1938,803.6
1939,912.5
1940,809.0
1941,769.9
1942,752.2
1943,749.8
1944,813.6
1945,743.3
1946,954.7
1947,727.8
1948,858.2
1949,711.3
1950,907.8
1951,986.6
1952,795.5
1953,677.9
1954,985.2
1955,694.2
1956,782.7
1957,811.3
1958,936.5
1959,732.3
1960,1062.5
1961,803.9
1962,730.9
1963,791.6
1964,653.6
1965,918.8
1966,949.4
1967,908.9
1968,903.3
1969,821.8
1970,833.0
1971,732.2
1972,779.4
1973,666.7
1974,919.9
1975,688.4
1976,731.8
1977,846.9
1978,817.5
1979,905.8
1980,885.5
1981,911.9
1982,878.3
1983,800.6
1984,834.1
1985,809.3
1986,905.4
1987,846.7
1988,842.2
1989,736.7
1990,755.0
1991,719.2
1992,873.8
1993,903.9
1994,913.8
1995,751.9
1996,676.9
1997,783.5
1998,966.6
1999,935.7
2000,1109.2
2001,862.7
2002,1006.6
2003,674.2
2004,889.8
2005,745.6
2006,844.4
2007,933.1
2008,981.4
2009,874.5
2010,726.6
2011,712.8
2012,1125.9
2013,813.0
2014,982.9
2015,866.9
2016,823.2
2017,825.1
2018,794.8
2019,979.4
2020,989.1
2021,877.3
2022,778.8
2023,1066.2
2024,1020.1
2025,      
