year  ,   ann
1910,1373.5
1911,1662.3
1912,1202.6
1913,1254.5
1914,1522.3
1915,1469.2
1916,1276.0
1917,1411.7
1918,1451.7
1919,1442.2
1920,1295.0
1921,1648.6
1922,1420.5
1923,1384.3
1924,1341.9
1925,1460.8
1926,1343.2
1927,1285.4
1928,1506.6
1929,1627.1
1930,1379.2
1931,1295.4
1932,1262.1
1933,1608.8
1934,1491.0
1935,1519.3
1936,1306.4
1937,1267.9
1938,1388.6
1939,1403.9
1940,1525.5
1941,1328.6
1942,1408.4
1943,1554.9
1944,1357.7
1945,1395.0
1946,1388.4
1947,1457.6
1948,1501.4
1949,1692.6
1950,1443.7
1951,1448.4
1952,1493.4
1953,1456.1
1954,1278.4
1955,1608.0
1956,1404.4
1957,1461.2
1958,1276.5
1959,1696.2
1960,1391.4
1961,1464.2
1962,1424.0
1963,1358.9
1964,1389.9
1965,1343.0
1966,1310.5
1967,1481.9
1968,1265.2
1969,1409.7
1970,1482.2
1971,1453.1
1972,1321.1
1973,1498.0
1974,1419.1
1975,1565.3
1976,1569.0
1977,1411.1
1978,1314.7
1979,1399.0
1980,1383.0
1981,1300.7
1982,1433.8
1983,1390.1
1984,1510.8
1985,1385.4
1986,1472.2
1987,1325.3
1988,1432.0
1989,1719.0
1990,1672.5
1991,1386.2
1992,1402.8
1993,1348.8
1994,1493.0
1995,1726.2
1996,1517.4
1997,1564.1
1998,1377.1
1999,1566.2
2000,1444.7
2001,1545.0
2002,1434.6
2003,1748.0
2004,1486.6
2005,1532.7
2006,1607.9
2007,1579.9
2008,1499.8
2009,1579.0
2010,1557.1
2011,1549.2
2012,1450.3
2013,1531.9
2014,1589.6
2015,1579.8
2016,1551.1
2017,1508.7
2018,1691.9
2019,1615.5
2020,1676.5
2021,1486.9
2022,1741.4
2023,1559.3
2024,1394.6
2025,      
